converged,fail_reason,Airspeed,Thrust_cruise,Power_out_max,Mass,TOGW_Max,TOGW_Design,Weight,CL,CD,L_over_D,Lift_total,Drag_total,Wing_span,Wing_chord,Wing_AR,Struct_defined_AoA,Hstab_AoA,Hstab_span,Hstab_chord,cg_le_dist,Boom_length,Wing_mass,Fuselage_mass,Solar_cells_num,Solar_cell_mass,Battery_capacity_Wh,Battery_mass,Battery_packs,Wire_mass,Avionics_mass,Motor_num,Motor_RPM,Motor_kV,Propeller_diameter,Propeller_mass,Motors_mass,ESCs_mass,airfoil,min_radius_m,max_curv_1_per_m
True,,9.835514494333832,2.3442144166344776,399.99999614564285,4.627427812341749,7,4.627427802420643,45.39506674174651,0.8994805013786549,0.04644943425644029,19.364724582279287,45.39506673252042,2.344214426579636,3.393335015468121,0.37688429650715,10.911316507394925,2.4270960890923363,-4.7970450616234644e-08,0.2999999953642154,0.14999999819157203,0.04711033097009011,0.9999999808765873,0.5244497699370597,0.2,52.20515423487204,0.7830773135230805,488.8867420693153,2.1442400967952424,4.404385063687525,0.023094523264331097,0.261,2.0,3494.5024568172507,157.41002057735363,0.6614558361323231,0.13352674231022602,0.1081496463601593,0.0190399998165326,2032c,0.5809995060515714,
True,,9.950021714446487,2.326805067071204,399.99999633252344,4.763891114966824,7,4.763891105146445,46.733771741486635,0.8393640815319556,0.041790690840576086,20.084953482438888,46.73377173312894,2.326805076944302,3.401149272124831,0.40844098030755,10.172111418425207,3.169858861340244,-4.5164872574767395e-07,0.29999999579039865,0.14999999842525974,0.05109143222456274,0.9999999820028637,0.6531175823265768,0.2,52.32537356482258,0.7848806034723387,489.9790873540831,2.1490310848863294,4.414226012198947,0.02319277961743879,0.261,2.0,3482.2693037080076,156.85897764450485,0.6637795192862346,0.13427805640960158,0.10814964640161737,0.019039999825428117,a18,0.6673669490564484,
True,,9.940867678373381,2.338044702948152,399.99999602294844,4.7881179743337015,7,4.7881179643465375,46.97143723023954,0.8359777531197826,0.0416115299314158,20.090050870459287,46.97143722036551,2.3380447129396282,3.4111578979006216,0.4119725743915041,10.124825617806414,4.298762658946577,1.3924844707667465e-08,0.2999999950563745,0.14999999803015784,0.05149632461868048,0.999999980142635,0.6673159330979977,0.2,52.47935242879039,0.7871902864318558,491.46139136118677,2.1555324182508193,4.427580102353034,0.023318919525448067,0.261,2.0,3471.9204866755003,156.39281471511262,0.6657580590659853,0.13491902093264166,0.10814964633294052,0.019039999810692345,a18sm,0.6737816404557818,
True,,11.553630815161798,3.17350765202728,559.7943939866341,6.527339223398162,7,6.527339213404871,64.03319768350178,0.6186401985722079,0.030660024511231034,20.17742022174818,64.0331976735707,3.173507662022754,4.913126218167113,0.38784731740812767,15.401006887406044,6.482252247398123,4.9127626584380784e-08,0.2999999950242904,0.14999999801425878,0.04848069613805426,0.9999999800745429,0.9164170912389418,0.2,75.58655735599712,1.1337983603399566,708.4321086117282,3.107158371104071,6.382271248754308,0.06172758659543776,0.261,2.0,3329.999967285556,149.9999985263764,0.6941318519965916,0.14451572659823847,0.14249259817176158,0.02664621315376378,a63a108c,1.834172273370877,
True,,11.123023306422432,2.2634889931402857,418.28394699349724,5.094880750505283,7,5.094880747675529,49.98078013469694,0.580936002907422,0.02630895808653993,22.08130025508832,49.98078019812089,2.2634889984163653,3.620741313840927,0.4810309070272263,9.329357018622213,4.532686516422881,-2.2817803491635545e-06,0.3000000218222146,0.15000001343067715,0.060128524657711784,1.0000000596694076,0.7865897554632737,0.2,55.70371232636205,0.8355556848954308,521.6027190417237,2.2877312238672096,4.699123594970484,0.027045582715399002,0.261,2.0,3741.399032978575,168.5314879720079,0.6178060730935535,0.11973593208726825,0.11218944555336131,0.019910315876890468,ag03,1.1822251127819943,
True,,11.30045329698553,2.2034119764076237,416.09252625949597,4.990466796539288,7,4.990466786549435,48.95647917604996,0.5716057846947149,0.02572658530483611,22.21848636038238,48.95647916615276,2.2034119864009596,3.587922260225517,0.467071258223365,9.498133207609948,4.559741993215471,4.711975916655894e-08,0.2999999950369465,0.14999999802150912,0.05838358820423491,0.9999999801127308,0.717399176103663,0.2,55.19880415680756,0.8279820623521134,516.9300535509693,2.2672370769779358,4.657027509468192,0.026474333553517637,0.261,2.0,3822.4273164622364,172.1814106514521,0.6047097441161633,0.11569773543317692,0.11170695397431811,0.01980600424995201,ag04,1.2535325874170975,
True,,11.19747709195908,2.271360840753512,424.5124215352961,5.137887450896031,7,5.137887440906184,50.40267579528967,0.5390941453279751,0.0242938954625824,22.19051885517047,50.402675785393406,2.271360850746823,3.648011206321159,0.5146725225066595,8.831501842288084,4.185227207768705,4.691047453959113e-08,0.2999999950375872,0.1499999980217304,0.06433367801231274,0.9999999801128424,0.8005869682583261,0.2,56.12324948136181,0.8418487422204272,525.6766327897495,2.3055992666217087,4.735825520628374,0.02777272740568356,0.261,2.0,3744.3115439785843,168.6626821611975,0.6173255129257835,0.11959581230625864,0.1135583201619692,0.02020679126508009,ag08,1.5276385714959335,
True,,10.884735050845098,2.4948763145986033,446.0279100632049,5.547653093669354,7,5.547653083679424,54.42247675089515,0.4938608229022178,0.022639941224394885,21.81369721799786,54.422476740998356,2.4948763245918677,3.8437404063332767,0.6169801360941605,7.861387439455142,3.942632311735558,4.6513035035693984e-08,0.29999999503930763,0.14999999802221617,0.07712195671284328,0.9999999801118756,1.0053485422625539,0.2,59.13446794310819,0.8870170191466228,553.9511945127599,2.429610502248947,4.9905513019167556,0.03193081617941679,0.261,2.0,3520.452475501121,158.57894033788835,0.6565801017130577,0.13202775326221844,0.11825960777776007,0.02123092851900855,ag09,1.7320211836167692,
False,"Error in Opti::solve [OptiNode] at .../casadi/core/optistack.cpp:217:
.../casadi/core/optistack_internal.cpp:1340: Assertion ""return_success(accept_limit)"" failed:
Solver failed. You may use opti.debug.value to investigate the latest values of variables. return_status is 'Restoration_Failed'",,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,ag10,2.4946946906897045,
False,"Error in Opti::solve [OptiNode] at .../casadi/core/optistack.cpp:217:
.../casadi/core/optistack_internal.cpp:1340: Assertion ""return_success(accept_limit)"" failed:
Solver failed. You may use opti.debug.value to investigate the latest values of variables. return_status is 'Restoration_Failed'",,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,0.261,,,,,,,,ag11,1.2672986397568884,
